SABRE,qiskit_lib_300.qasm,condor.txt,300,15831,24490,96175,395824,318590,272234,531218,2852568,2194252,2117018,599476,11,109.3505871295929,2135892
SABRE,qiskit_lib_400.qasm,condor.txt,400,21131,32690,128375,650524,545890,422370,828483,4472299,3947044,3842410,1098840,11,204.45496153831482,3572700
SABRE,qiskit_lib_500.qasm,condor.txt,500,26431,40890,160575,965224,833190,595806,1172265,6346500,6154393,6022359,1729723,11,315.09487748146057,4777700
SABRE,qiskit_lib_100.qasm,condor.txt,100,5231,8090,31775,66424,43990,44058,83931,439831,244870,222436,59482,12,13.024081468582153,502008
SABRE,qiskit_lib_200.qasm,condor.txt,200,10531,16290,63975,201124,151290,140353,272168,1452575,965521,915687,254799,12,51.124094009399414,1193244
SABRE,qiskit_lib_300.qasm,condor.txt,300,15831,24490,96175,395824,318590,276318,540390,2908515,2172163,2094929,592113,12,112.88202404975891,2090580
SABRE,qiskit_lib_400.qasm,condor.txt,400,21131,32690,128375,650524,545890,401477,787546,4251524,3928444,3823810,1092640,12,196.96300983428955,3568464
SABRE,qiskit_lib_500.qasm,condor.txt,500,26431,40890,160575,965224,833190,620238,1220668,6610549,6170344,6038310,1735040,12,311.3125801086426,4829008
SABRE,qiskit_lib_100.qasm,condor.txt,100,5231,8090,31775,66424,43990,42237,80344,420425,243838,221404,59138,13,12.826543807983398,511444
SABRE,qiskit_lib_200.qasm,condor.txt,200,10531,16290,63975,201124,151290,136482,265314,1419658,942634,892800,247170,13,48.49328088760376,1187972
SABRE,qiskit_lib_300.qasm,condor.txt,300,15831,24490,96175,395824,318590,258824,505853,2720666,2157529,2080295,587235,13,114.72754406929016,2085248
SABRE,qiskit_lib_400.qasm,condor.txt,400,21131,32690,128375,650524,545890,417454,818706,4418624,3936274,3831640,1095250,13,195.9238851070404,3559392
SABRE,qiskit_lib_500.qasm,condor.txt,500,26431,40890,160575,965224,833190,580867,1141389,6171912,6136159,6004125,1723645,13,314.0390422344208,4916080
SABRE,qiskit_lib_100.qasm,condor.txt,100,5231,8090,31775,66424,43990,38785,73787,385965,239731,217297,57769,14,12.948444843292236,510056
SABRE,qiskit_lib_200.qasm,condor.txt,200,10531,16290,63975,201124,151290,134563,260328,1385970,945838,896004,248238,14,48.364211559295654,1200852
